Country Name,Country Code,Indicator Name,Indicator Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Argentina,ARG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.731,7.715,7.696,7.678,7.659,7.64,7.621,7.602,7.584,7.566,
Argentina,ARG,"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS,16.67158723,16.35093116,15.36736969,15.79489415,17.12723141,14.07339845,11.81500096,8.7412893,7.72304601,6.91697394,
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.68780488,74.84990244,75.00904878,75.16626829,75.32456098,75.48497561,75.64904878,75.8162439,75.98609756,76.15860976,
Argentina,ARG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,63.78536987,66.83110046,66.35090637,68.14135742,70.53328705,73.93920135,77.45388794,78.9728775,79.98670197,,
Armenia,ARM,Age dependency ratio (% of working-age population),SP.POP.DPND,50.38410104,49.34192592,48.08573967,46.82264097,45.78943876,45.05936012,43.6615996,42.53044579,41.75119713,41.3293303,41.26264721
Armenia,ARM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,14.097,14.164,14.161,14.101,13.986,13.83,13.652,13.474,13.308,13.157,
Armenia,ARM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.421,8.462,8.517,8.582,8.655,8.738,8.834,8.943,9.063,9.19,
Armenia,ARM,"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS,10.23427085,11.33176388,10.41632671,7.00308606,6.71988178,6.96733436,7.39885161,7.43875474,7.27372925,7.04461968,
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.28739024,73.54826829,73.76465854,73.945,74.09582927,74.22634146,74.34282927,74.45209756,74.56136585,74.67570732,
Armenia,ARM,"School enrollment, tertiary (% gross)",SE.TER.ENRR,38.36658859,41.76501846,44.3306694,46.59685135,49.14133835,50.64429855,51.00141907,43.9144783,43.31090164,44.25460815,
Aruba,ABW,Age dependency ratio (% of working-age population),SP.POP.DPND,42.98313322,43.14106841,43.47598055,43.95783911,44.53106072,45.1572345,44.99317251,44.70668042,44.35530247,44.07025167,43.95238953
Aruba,ABW,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.313,11.98,11.661,11.36,11.079,10.823,10.597,10.403,10.244,10.124,
Aruba,ABW,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.305,7.4,7.507,7.628,7.761,7.905,8.054,8.207,8.361,8.514,
Aruba,ABW,"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS,,,,,,,,,,,
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.22807317,74.37619512,74.5267561,74.67573171,74.81814634,74.95353659,75.08139024,75.2057561,75.32865854,75.45109756,
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,31.68346977,30.90319061,33.92612839,35.24048996,35.36231995,37.35770035,38.73762131,37.75569153,17.00259018,16.90159988,
Australia,AUS,Age dependency ratio (% of working-age population),SP.POP.DPND,48.59637165,48.25615877,48.01052495,47.91250016,47.96929929,48.15559581,48.6222684,49.090162,49.61426231,50.23111779,50.92736435
Australia,AUS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.8,12.9,14.1,14,13.9,13.7,13.6,13.7,13.3,12.9,
Australia,AUS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.4,6.4,6.7,6.7,6.5,6.5,6.6,6.6,6.4,6.5,
Australia,AUS,"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS,16.94705394,17.13257779,17.48171484,17.20871916,16.77921974,17.11436101,17.65066229,17.31142544,17.31142544,17.31142544,
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.84146341,81.04146341,81.29268293,81.39512195,81.54390244,81.69512195,81.89512195,82.04634146,82.14878049,82.25121951,
Australia,AUS,"School enrollment, tertiary (% gross)",SE.TER.ENRR,72.29192352,71.48291779,72.51995087,72.91854095,76.76537323,80.91708374,83.47075653,85.41391754,86.55455017,,
Austria,AUT,Age dependency ratio (% of working-age population),SP.POP.DPND,47.31058565,47.48127643,47.64183819,47.78383606,47.92921304,48.09766643,48.33480402,48.54905481,48.76464488,48.97883722,49.17973629
Austria,AUT,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,9.5,9.4,9.2,9.3,9.2,9.4,9.3,9.4,9.4,9.6,
Austria,AUT,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.1,9,9,9,9.3,9.2,9.1,9.4,9.4,9.2,
Austria,AUT,"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS,15.66748852,15.74624548,15.99877963,16.20703242,16.09120887,15.90639731,16.18287608,16.29661859,16.33091808,16.27325511,
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.33170732,79.8804878,80.1804878,80.43170732,80.33170732,80.5804878,80.98292683,80.93658537,81.13658537,81.33658537,
Austria,AUT,"School enrollment, tertiary (% gross)",SE.TER.ENRR,47.78224182,49.41302872,51.22851944,56.14997864,60.71657944,68.73217773,71.0109024,72.31488037,80.38678741,79.99864197,
Azerbaijan,AZE,Age dependency ratio (% of working-age population),SP.POP.DPND,47.9990145,46.11507039,44.23620765,42.51898906,41.1485746,40.1698262,39.20177524,38.65836547,38.34914556,38.11915551,38.01600762
Azerbaijan,AZE,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,16.9,17.6,17.7,17.4,17,18.3,19.2,18.8,18.3,17.9,
Azerbaijan,AZE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.2,6.2,6.3,6,5.9,5.9,5.9,5.9,5.8,5.8,
Azerbaijan,AZE,"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS,5.15284585,4.27429355,4.56771056,3.07215385,4.53831434,4.21557212,3.65643773,3.805179,3.4957035,3.88256056,
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.93726829,69.3752439,69.7565122,70.06395122,70.29368293,70.45131707,70.55180488,70.62395122,70.69058537,70.76321951,
Azerbaijan,AZE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,19.78945923,19.36459923,19.04788971,19.05771065,19.26004028,19.64731026,20.4384594,21.44042969,23.15973091,
"Bahamas, The",BHS,Age dependency ratio (% of working-age population),SP.POP.DPND,46.66265758,46.03662647,45.31378035,44.32989264,43.10665435,41.81562358,41.59491247,41.2556377,41.00281005,40.99351448,41.24625516
"Bahamas, The",BHS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,15.4,15.432,15.519,15.601,15.647,15.637,15.569,15.464,15.339,15.199,
"Bahamas, The",BHS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.625,5.673,5.728,5.784,5.841,5.897,5.955,6.016,6.083,6.156,
"Bahamas, The",BHS,"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS,14.73641167,17.13894616,16.80487176,18.19199819,17.65104954,17.63028862,16.29669303,15.13047272,13.44797791,14.76375693,
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.63887805,73.85846341,74.05946341,74.24743902,74.42390244,74.59239024,74.75441463,74.91446341,75.07353659,75.23365854,
"Bahamas, The",BHS,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,
Bahrain,BHR,Age dependency ratio (% of working-age population),SP.POP.DPND,40.97055113,37.02098407,33.82017272,31.28209171,29.30311153,27.79554237,28.57315843,29.329224,30.12031115,30.85804823,31.38151989
Bahrain,BHR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,18.442,17.873,17.347,16.879,16.47,16.107,15.764,15.414,15.04,14.636,
Bahrain,BHR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,2.489,2.434,2.387,2.349,2.321,2.305,2.3,2.304,2.317,2.339,
Bahrain,BHR,"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS,8.64948552,8.812304,9.35480777,9.78171479,10.72125869,9.08452427,8.66784911,9.34712667,10.57740809,10.46992799,
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.42214634,75.56646341,75.7077561,75.8475122,75.98778049,76.12756098,76.26785366,76.40763415,76.54595122,76.68326829,
Bahrain,BHR,"School enrollment, tertiary (% gross)",SE.TER.ENRR,25.57451057,24.44087029,,,,,42.83734131,41.0867691,36.4513588,36.83768082,
Bangladesh,BGD,Age dependency ratio (% of working-age population),SP.POP.DPND,63.20222684,62.29122487,61.32581017,60.31973115,59.29564694,58.26268285,57.06060387,55.9304577,54.82701518,53.68590411,52.48674876
Bangladesh,BGD,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,24.152,23.484,22.858,22.283,21.763,21.298,20.882,20.501,20.142,19.796,
Bangladesh,BGD,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.132,6.014,5.907,5.813,5.728,5.652,5.582,5.517,5.457,5.401,
Bangladesh,BGD,"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS,7.864223,8.56333123,8.56470829,6.8994914,7.82325269,8.26960239,7.46217144,6.92130549,5.54641825,5.65505405,
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.97185366,68.42563415,68.85997561,69.27785366,69.68378049,70.08029268,70.47195122,70.86026829,71.2452439,71.62590244,
Bangladesh,BGD,"School enrollment, tertiary (% gross)",SE.TER.ENRR,6.235270023,7.121930122,7.678040028,8.607930183,10.52058029,,13.28069019,13.38656044,,13.44079971,
Barbados,BRB,Age dependency ratio (% of working-age population),SP.POP.DPND,48.03191719,47.84553195,47.6506694,47.53152099,47.60281778,47.89660791,48.01791394,48.40151363,48.99397174,49.69493674,50.4435787
Barbados,BRB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.967,12.862,12.764,12.67,12.575,12.478,12.379,12.282,12.188,12.098,
Barbados,BRB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.193,10.207,10.223,10.246,10.279,10.323,10.378,10.44,10.506,10.576,
Barbados,BRB,"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS,9.2184338,10.15901342,9.97095765,10.53930179,10.97848294,9.71187047,10.11550073,10.69198533,10.69953958,10.92094276,
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.03034146,74.19312195,74.35641463,74.51919512,74.6824878,74.84529268,75.00814634,75.17102439,75.33395122,75.49641463,
Barbados,BRB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,59.74332047,,75.71624756,69.81481171,65.43222809,,,,
Belarus,BLR,Age dependency ratio (% of working-age population),SP.POP.DPND,43.52041635,42.88719618,42.09072553,41.29854969,40.71650708,40.45638112,40.66800747,41.12160361,41.72133179,42.3458528,42.95748424
Belarus,BLR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,9.4,10.1,10.8,11.3,11.5,11.4,11.5,12.2,12.5,12.5,
Belarus,BLR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,14.7,14.4,13.9,14.1,14.2,14.4,14.3,13.4,13.2,12.8,
Belarus,BLR,"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS,10.45574111,9.46880502,9.08148529,7.8747379,8.39629426,13.39529256,12.99160749,13.21285743,13.90624867,13.79462392,
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.85121951,69.40487805,70.20341463,70.45609756,70.40731707,70.40487805,70.55365854,71.96585366,72.47073171,72.97560976,
Belarus,BLR,"School enrollment, tertiary (% gross)",SE.TER.ENRR,67.0785675,69.44774628,71.59916687,71.24411774,74.45832062,79.42101288,85.70139313,90.43713379,91.0297699,88.85703278,
Belgium,BEL,Age dependency ratio (% of working-age population),SP.POP.DPND,51.97048193,51.88055875,51.6736313,51.43927058,51.32401062,51.41891124,51.78495717,52.28503932,52.91062055,53.59387956,54.24780332
Belgium,BEL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.4,11.6,11.7,11.9,11.8,11.9,11.6,11.5,11.2,11.1,
Belgium,BEL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.9,9.6,9.5,9.8,9.7,9.7,9.4,9.8,9.8,9.3,
Belgium,BEL,"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS,13.71201933,14.36269107,14.4129836,14.85387211,14.96840526,15.00193431,14.94846286,14.85258063,15.0973108,15.09731075,
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.9804878,79.3804878,79.78292683,79.6804878,79.98292683,80.18292683,80.58536585,80.38536585,80.58780488,80.58780488,
Belgium,BEL,"School enrollment, tertiary (% gross)",SE.TER.ENRR,61.40420151,61.95885849,61.34976959,62.10216904,65.19814301,67.71092224,69.72563171,71.24436951,72.30957031,73.31880188,
Belize,BLZ,Age dependency ratio (% of working-age population),SP.POP.DPND,73.35263016,71.64489259,69.9469206,68.2983542,66.7454559,65.31852225,63.35094901,61.59402206,59.95139089,58.34623973,56.78092204
Belize,BLZ,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,26.373,25.635,24.974,24.42,23.982,23.657,23.426,23.25,23.092,22.933,
Belize,BLZ,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.25,5.126,5.058,5.051,5.104,5.201,5.319,5.43,5.512,5.559,
Belize,BLZ,"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS,9.29538205,9.24635902,10.60845363,11.4598321,12.91270727,13.11900024,13.41403015,12.4715247,13.41928526,13.81204476,
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.08636585,69.2794878,69.452,69.59421951,69.70307317,69.78204878,69.84368293,69.90514634,69.98204878,70.07743902,
Belize,BLZ,"School enrollment, tertiary (% gross)",SE.TER.ENRR,16.0301609,17.03046036,18.18984032,19.10354042,22.41007996,21.87334061,21.92108917,24.33289909,24.18479919,,
Benin,BEN,Age dependency ratio (% of working-age population),SP.POP.DPND,89.84625037,89.42961245,88.82484594,88.06984312,87.19700452,86.22322274,85.61008977,84.85309944,83.9785747,83.01346861,81.98219189
Benin,BEN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,40.476,39.954,39.422,38.889,38.363,37.852,37.362,36.891,36.44,36.008,
Benin,BEN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.964,10.683,10.426,10.201,10.009,9.849,9.713,9.592,9.476,9.361,
Benin,BEN,"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS,11.05186976,12.13213867,9.7919972,9.27417574,8.9492276,12.44315695,13.34995067,10.16968907,9.55089804,9.55089804,
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.06597561,57.48339024,57.86739024,58.2045122,58.49126829,58.72970732,58.93290244,59.12197561,59.31202439,59.51058537,
Benin,BEN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,5.784349918,6.641930103,7.903719902,7.78704977,9.870059967,13.25990963,12.36511993,13.42121983,15.36277962,,
Bermuda,BMU,Age dependency ratio (% of working-age population),SP.POP.DPND,,,,,,,,,,,
Bermuda,BMU,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,13.1,12.5,13.4,12.8,12.5,11.8,10.4,10,10.4,10.5,
Bermuda,BMU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.1,7.1,7,6.8,7.2,7.3,6.6,6.5,6.8,7.6,
Bermuda,BMU,"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS,,,,,,,,,,,
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.68536585,78.88780488,78.93414634,79.23658537,79.38843902,79.28853659,81.15268293,81.67780488,80.57243902,80.79731707,
Bermuda,BMU,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,30.01988029,26.17432976,25.92593002,32.11095047,29.8167305,31.16543961,30.80260086,29.56159973,27.45973015,
Bhutan,BTN,Age dependency ratio (% of working-age population),SP.POP.DPND,61.73381949,59.62012077,57.7468212,56.06845553,54.47349641,52.8944497,51.72718174,50.42637368,49.10356519,47.90966198,46.9033562
Bhutan,BTN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,23.283,22.638,21.991,21.319,20.619,19.914,19.241,18.639,18.134,17.726,
Bhutan,BTN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.118,6.9,6.721,6.578,6.465,6.381,6.319,6.277,6.248,6.23,
Bhutan,BTN,"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS,11.66964244,12.67250018,16.02805318,16.85626903,15.50750906,11.02358727,11.79340525,7.78580725,8.38859599,8.03238717,
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.91843902,65.63790244,66.29309756,66.88502439,67.41665854,67.89241463,68.32319512,68.72290244,69.10292683,69.4712439,
Bhutan,BTN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,4.743850231,4.987659931,5.398439884,6.461229801,6.277480125,7.007679939,8.741559982,9.441300392,10.92693043,,
Bolivia,BOL,Age dependency ratio (% of working-age population),SP.POP.DPND,72.46899051,71.690408,70.93571346,70.17319883,69.35285365,68.45560698,67.54707433,66.54966114,65.5239233,64.55646168,63.69471812
Bolivia,BOL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,28.127,27.582,27.043,26.51,25.991,25.496,25.035,24.615,24.236,23.896,
Bolivia,BOL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.878,8.669,8.466,8.271,8.085,7.913,7.759,7.627,7.517,7.428,
Bolivia,BOL,"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS,11.81250058,12.05053777,11.18054212,10.40307066,11.33358807,11.86824079,11.06042644,11.33462372,11.9592305,11.75192516,
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.53978049,64.11495122,64.69412195,65.27380488,65.848,66.4077561,66.94256098,67.44546341,67.91343902,68.344,
Bolivia,BOL,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,38.39057159,,,,,,,,
Bosnia and Herzegovina,BIH,Age dependency ratio (% of working-age population),SP.POP.DPND,41.16891687,40.3341034,39.84663698,39.59814919,39.39908189,39.19035496,39.49480176,39.6385188,39.75876971,40.08981768,40.73018063
Bosnia and Herzegovina,BIH,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,8.781,8.891,9.036,9.164,9.248,9.272,9.235,9.159,9.062,8.947,
Bosnia and Herzegovina,BIH,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.859,9.052,9.251,9.449,9.644,9.831,10.012,10.187,10.359,10.527,
Bosnia and Herzegovina,BIH,"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS,10.53618595,11.11290032,10.96868768,11.47894865,13.73440346,13.6688533,14.42747145,14.70695061,14.10585357,14.10585357,
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.09353659,75.23143902,75.3714878,75.51197561,75.65736585,75.80768293,75.96292683,76.12017073,76.27692683,76.4332439,
Bosnia and Herzegovina,BIH,"School enrollment, tertiary (% gross)",SE.TER.ENRR,27.32360077,29.7244606,32.84711838,35.48450851,36.87733841,36.83292007,39.19586945,41.09378052,45.62792969,47.57777023,
Botswana,BWA,Age dependency ratio (% of working-age population),SP.POP.DPND,63.12940149,61.70514228,60.46861336,59.39261447,58.43854662,57.59686504,56.94339404,56.40377688,55.9673262,55.60051588,55.27026814
Botswana,BWA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,25.662,25.507,25.438,25.438,25.482,25.528,25.529,25.45,25.267,24.972,
Botswana,BWA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.767,10.589,9.484,8.568,7.899,7.499,7.342,7.332,7.384,7.462,
Botswana,BWA,"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS,11.77404719,10.41900998,8.97026831,8.47880512,8.23082262,8.61620298,8.75119605,10.75512459,10.43662681,8.83910109,
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,54.55221951,56.87326829,59.07456098,60.95858537,62.41709756,63.40229268,63.95160976,64.22273171,64.36080488,64.4292439,
Botswana,BWA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,9.166080475,10.00275993,10.18006992,14.17216015,21.72014046,19.17169952,17.13014984,18.07154083,25.0077095,27.51321983,
